CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
51208;Minister of Armament;Li Peiyao;1989;2011;2011;SD;Air Superiority Proponent;Medium;CHC_LiPeiyao;X
51209;Head of State;He Luli;1996;2011;2011;SD;Insignificant Layman;Medium;CHC_HeLuli;X
51210;Head of State;Zhou Tienong;2007;2011;2011;SD;Insignificant Layman;Medium;CHC_ZhouTienong;X
51211;Chief of Staff;Chen Qihan;1932;1964;1964;ST;School of Defence;Medium;CHC_ChenQihan;X
51212;Minister of Security;Dong Biwu;1935;1964;1964;ST;Crime Fighter;Medium;CHC_DongBiwu;X
51213;Minister of Security;Li Weihan;1933;1964;1964;ST;Efficient Sociopath;Medium;CHC_LiWeihan;X
51214;Minister of Security;Deng Fa;1931;1964;1964;ST;Prince of Terror;Medium;CHC_DengFa;X
51215;Foreign Minister;Chen Jiakang;1935;1964;1964;ST;Biased Intellectual;Medium;CHC_ChenJiakang;X
51216;Minister of Armament;Liu Ying;1930;1964;1964;ST;Military Entrepreneur;Medium;CHC_LiuYing;X
51217;Foreign Minister;Gong Peng;1940;1964;1964;ST;Great Compromiser;Medium;CHC_GongPeng;X
51218;Foreign Minister;Wang Bingnan;1936;1964;1964;ST;The Cloak n Dagger Schemer;Medium;CHC_WangBingnan;X
51219;Foreign Minister;Xu Yixin;1931;1964;1964;ST;General Staffer;Medium;CHC_XuYixin;X
51220;Chief of Army;Hua Guofeng;1976;2001;2001;ST;Guns and Butter Doctrine;Medium;CHC_HuaGuofeng;X
51221;Chief of Army;Jiang Zemin;1990;2011;2011;LE;Guns and Butter Doctrine;Medium;CHC_JiangZemin;X
51222;Chief of Army;Hu Jintao;2003;2011;2011;LE;Guns and Butter Doctrine;Medium;CHC_HuJintao;X
51223;Head of Government;Meigong Bin;1947;1964;1964;SD;Political Protege;Medium;CHC_MeigongBin;X
51224;Chief of Staff;Li Jishen;1933;1964;1964;SD;School of Defence;Medium;CHC_LiJishen;X
51225;Chief of Army;Li Jishen;1933;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_LiJishen;X
51226;Minister of Armament;Li Jishen;1937;1964;1964;SD;Military Entrepreneur;Medium;CHC_LiJishen;X
51227;Head of Government;Li Jishen;1933;1964;1964;SD;Old General;Medium;CHC_LiJishen;X
51228;Minister of Armament;Sun Yueqi;1949;1964;1964;SD;Resource Industrialist;Medium;CHC_SunYueqi;X
51229;Head of Military Intelligence;Meigong Bin;1935;1964;1964;SD;Political Specialist;Medium;CHC_MeigongBin;X
51230;Head of State;Hou Jingru;1992;2011;2011;SD;Resigned Generalissimo;Medium;CHC_HouJingru;X
51231;Chief of Army;Liu Shaoqi;1959;1981;1981;LE;Guns and Butter Doctrine;Medium;CHC_LiuShaoqi;X
51232;Chief of Army;Teng Yun;1949;1964;1964;SD;Decisive Battle Doctrine;Medium;CHC_TengYun;X
51233;Chief of Staff;Teng Yun;1945;1964;1964;SD;School of Fire Support;Medium;CHC_TengYun;X
51234;Chief of Army;Wei Lihuang;1939;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_WeiLihuang;X
51235;Foreign Minister;Siyuan;1949;1964;1964;SD;Apologetic Clerk;Medium;CHC_Siyuan;X
51236;Minister of Armament;Siyuan;1928;1964;1964;SD;Theoretical Scientist;Medium;CHC_Siyuan;X
51237;Minister of Security;Siyuan;1928;1964;1964;SD;Silent Lawyer;Medium;CHC_Siyuan;X
51238;Chief of Army;Fu Zuoyi;1946;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_FuZuoyi;X
51239;Chief of Staff;Cheng Qian;1949;1964;1964;SD;School of Defence;Medium;CHC_ChengQian;X
51240;Chief of Army;Cheng Qian;1949;1964;1964;SD;Guns and Butter Doctrine;Medium;CHC_ChengQian;X
51241;Head of Government;Li Zhang Da;1948;1964;1964;SD;Old General;Medium;CHC_LiZhang Da;X
51242;Head of Government;Gan Yongbo;1979;2001;2001;SD;Old General;Medium;CHC_GanYongbo;X
51243;Minister of Armament;Gan Yongbo;1949;1964;1964;SD;Laissez-faire Capitalist;Medium;CHC_GanYongbo;X
51244;Minister of Security;Gan Yongbo;1949;1964;1964;SD;Compassionate Gentleman;Medium;CHC_GanYongbo;X
51245;Head of Government;Li Ganliu;1983;2011;2011;SD;Happy Amateur;Medium;CHC_LiGanliu;X
51246;Foreign Minister;Li Ganliu;1983;2011;2011;SD;Biased Intellectual;Medium;CHC_LiGanliu;X
51247;Head of Government;Peng Qingyuan;1988;2011;2011;SD;Corporate Suit;Medium;CHC_PengQingyuan;X
51248;Head of Military Intelligence;Peng Qingyuan;1980;2011;2011;SD;Industrial Specialist;Medium;CHC_PengQingyuan;X
51249;Foreign Minister;Peng Qingyuan;1980;2011;2011;SD;Biased Intellectual;Medium;CHC_PengQingyuan;X
51250;Head of Government;Zhu Peikang;1992;2011;2011;SD;Silent Workhorse;Medium;CHC_ZhuPeikang;X
51251;Head of Government;Liu Minfu;1997;2011;2011;SD;Silent Workhorse;Medium;CHC_LiuMinfu;X
51300;Head of State;Mao Zedong;1943;1977;1977;ST;Powerhungry Demagogue;High;M51300;X
51301;Head of Government;Mao Zedong;1943;1977;1977;ST;Backroom Backstabber;High;M51300;X
51302;Head of State;Mao Zedong;1953;1977;1977;ST;Powerhungry Demagogue;High;M51302;X
51303;Head of Government;Mao Zedong;1953;1977;1977;ST;Backroom Backstabber;High;M51302;X
51304;Head of State;Mao Zedong;1963;1977;1977;ST;Powerhungry Demagogue;High;M51304;X
51305;Head of Government;Mao Zedong;1963;1977;1977;ST;Backroom Backstabber;High;M51304;X
51306;Head of State;Lin Biao;1955;1964;1964;ST;Resigned Generalissimo;Medium;CHC_LinBiao;X
51307;Head of Government;Lin Biao;1955;1964;1964;ST;Old General;Medium;CHC_LinBiao;X
51308;Foreign Minister;Chen Boda;1955;1964;1964;ST;Ideological Crusader;Medium;M51308;X
51309;Minister of Armament;Qian Xuesen;1955;1964;1964;ST;Theoretical Scientist;Medium;M51309;X
51310;Head of Military Intelligence;Qian Xuesen;1955;1964;1964;ST;Technical Specialist;Medium;M51309;X
51311;Head of State;Hua Guofeng;1976;2009;2009;ST;Insignificant Layman;Medium;M51311;X
51312;Head of Government;Hua Guofeng;1976;2009;2009;ST;Corporate Suit;Medium;M51311;X
51313;Head of State;Deng Xiaoping;1978;1998;1998;LE;Die-Hard Reformer;Medium;PRC2;X
51314;Head of Government;Zhao Ziyang;1980;2006;2006;LE;Happy Amateur;Medium;M51314;X
51315;Head of Government;Li Peng;1987;2020;2020;LE;Naive Optimist;Medium;M51315;X
51316;Head of State;Hu Yaobang;1985;2000;2013;LE;Powerhungry Demagogue;High;PRC1;X
51317;Head of Government;Deng Xiaoping;1985;1998;1998;LE;Backroom Backstabber;High;PRC2;X
51318;Foreign Minister;Wu Xueqian;1985;2000;2013;ST;General Staffer;High;PRC3;X
51319;Minister of Armament;Wang Bingqian;1985;2000;2013;ST;Military Entrepreneur;High;PRC4;X
51320;Minister of Security;Zhang Aiping;1985;2000;2013;ST;Man of the People;Medium;PRC5;X
51321;Head of Military Intelligence;Jia Chunwang;1985;2000;2013;ST;Logistics Specialist;Medium;PRC6;X
51322;Chief of Staff;Yang Dezhi;1985;2000;2013;ST;School of Mass Combat;Medium;PRC7;X
51323;Chief of Army;Chi Haotian;1985;2000;2013;ST;Guns and Butter Doctrine;High;PRC8;X
51324;Chief of Navy;Liu Huaqing;1985;2000;2013;ST;Open Seas Doctrine;Medium;PRC9;X
51325;Chief of Air Force;Wang Hai;1985;2000;2013;ST;Army Aviation Doctrine;Medium;PRC10;X
51326;Head of State;Zhang Chunqiao;1950;1982;2006;ST;Powerhungry Demagogue;Medium;M51326;X
51327;Head of Government;Jiang Qing;1950;1982;1991;ST;Backroom Backstabber;Medium;CHC_JiangQing;X
